size,disp,std,centroid_std,som_size,unused_som
500,4,1.141638223,0.534854577,23,30.62381853
500,4,1.160951208,0.527568157,24,36.45833333
500,4,1.150526014,0.552597593,25,39.2
500,4,1.159974621,0.570313014,26,41.12426036
500,4,1.135609707,0.55719322,27,45.81618656
500,4,1.167285845,0.542112734,28,47.83163265
1000,0.25,0.071301826,0.035130127,3,0
1000,0.25,0.072770539,0.035301606,4,0
1000,0.25,0.071960119,0.034762282,5,0
1000,0.25,0.072033403,0.03378273,6,0
1000,0.25,0.071406437,0.036091829,7,0
1000,0.25,0.07323995,0.033167394,8,0
1000,0.25,0.072451711,0.034245006,9,0
1000,0.25,0.071974855,0.034552296,10,0
1000,0.25,0.071487745,0.034061019,11,0
1000,0.25,0.071671661,0.035209284,12,0
1000,0.25,0.072722139,0.034575555,13,0
1000,0.25,0.072158043,0.033824228,14,0
1000,0.25,0.072490288,0.034212287,15,0
1000,0.25,0.072286255,0.034897857,16,1.5625
1000,0.25,0.072076178,0.03500348,17,1.730103806
1000,0.25,0.071581651,0.034779111,18,2.777777778
1000,0.25,0.072854086,0.03489018,19,3.878116343
1000,0.25,0.071560671,0.035415933,20,6.5
1000,0.25,0.071993163,0.034651307,21,5.442176871
1000,0.25,0.071669518,0.034804053,22,10.53719008
1000,0.25,0.071820616,0.032992685,23,13.42155009
1000,0.25,0.072199028,0.033690326,24,13.71527778
1000,0.25,0.072257408,0.034065387,25,16.96
1000,0.25,0.07141174,0.035242365,26,18.78698225
1000,0.25,0.073000159,0.034020592,27,20.7133059
1000,0.25,0.071096036,0.034782788,28,24.74489796
1000,0.5,0.14228516,0.07085172,3,0
1000,0.5,0.143887697,0.06954553,4,0
1000,0.5,0.144555178,0.070023945,5,0
1000,0.5,0.143435235,0.073226785,6,0
1000,0.5,0.144648411,0.067896832,7,0
1000,0.5,0.145574748,0.070547529,8,0
1000,0.5,0.143965061,0.068035169,9,0
1000,0.5,0.143661462,0.068238957,10,0
1000,0.5,0.143560245,0.067623856,11,0
1000,0.5,0.142013629,0.067152514,12,0
1000,0.5,0.145446479,0.069157915,13,0.591715976
1000,0.5,0.144926804,0.068427401,14,0
1000,0.5,0.144156312,0.071853438,15,0.888888889
1000,0.5,0.143741541,0.067776587,16,0
1000,0.5,0.145029644,0.067754596,17,1.730103806
1000,0.5,0.143611123,0.070118327,18,4.320987654
1000,0.5,0.145277572,0.068241546,19,4.986149584
1000,0.5,0.143164287,0.070103251,20,3.5
1000,0.5,0.1454187,0.0682852,21,6.12244898
1000,0.5,0.142912235,0.068204812,22,7.851239669
1000,0.5,0.145015887,0.069287968,23,14.74480151
1000,0.5,0.143242216,0.070250472,24,16.49305556
1000,0.5,0.144775984,0.065381033,25,17.92
1000,0.5,0.144195109,0.068806046,26,20.85798817
1000,0.5,0.145237091,0.071204723,27,20.85048011
1000,0.5,0.144437998,0.068032528,28,23.34183673
1000,1,0.288592798,0.135742234,3,0
1000,1,0.286874732,0.133926693,4,0
1000,1,0.287188123,0.135655756,5,0
1000,1,0.290896106,0.137332391,6,0
1000,1,0.290863907,0.141261332,7,0
1000,1,0.287205537,0.142049299,8,0
1000,1,0.289447749,0.132784268,9,0
1000,1,0.284481486,0.135995144,10,0
1000,1,0.287535971,0.142652923,11,0
1000,1,0.285953329,0.137754715,12,0
1000,1,0.289809481,0.145303667,13,0
1000,1,0.28908978,0.136988268,14,1.020408163
1000,1,0.289752715,0.143089056,15,0.444444444
1000,1,0.288250358,0.14077863,16,1.5625
1000,1,0.288701893,0.14503359,17,2.422145329
1000,1,0.288691434,0.140242068,18,3.703703704
1000,1,0.290631272,0.139060776,19,3.878116343
1000,1,0.290048296,0.137517064,20,4.75
1000,1,0.285192724,0.135134215,21,9.750566893
1000,1,0.284044907,0.135733433,22,9.090909091
1000,1,0.288924067,0.141890354,23,13.98865784
1000,1,0.289623952,0.136768774,24,14.23611111
1000,1,0.293208526,0.138239532,25,17.12
1000,1,0.286376686,0.134957353,26,17.15976331
1000,1,0.292195556,0.138754182,27,22.63374486
1000,1,0.289055672,0.141033282,28,24.74489796
1000,1.5,0.434490106,0.210141819,3,0
1000,1.5,0.431828922,0.20609882,4,0
1000,1.5,0.4317389,0.197399181,5,0
1000,1.5,0.432988414,0.21025702,6,0
1000,1.5,0.432991972,0.194823982,7,0
1000,1.5,0.43771372,0.216783428,8,0
1000,1.5,0.433312804,0.210944331,9,0
1000,1.5,0.432972655,0.207583316,10,0
1000,1.5,0.424215247,0.200063574,11,0
1000,1.5,0.435654816,0.204061981,12,0
1000,1.5,0.436002583,0.207021691,13,0
1000,1.5,0.436392442,0.208748023,14,0.510204082
1000,1.5,0.431101325,0.211493265,15,0
1000,1.5,0.431854579,0.207308704,16,1.953125
1000,1.5,0.433876366,0.203122517,17,1.730103806
1000,1.5,0.434207052,0.203857252,18,3.086419753
1000,1.5,0.434224104,0.205545559,19,5.263157895
1000,1.5,0.43500717,0.211831287,20,7
1000,1.5,0.430833431,0.213274921,21,9.297052154
1000,1.5,0.429891118,0.20552779,22,12.39669421
1000,1.5,0.430780283,0.213370039,23,10.58601134
1000,1.5,0.431160976,0.201929963,24,14.40972222
1000,1.5,0.436369284,0.199391902,25,18.88
1000,1.5,0.437224376,0.203118531,26,19.23076923
1000,1.5,0.428750955,0.205307779,27,20.02743484
1000,1.5,0.432216484,0.216768309,28,23.97959184
1000,2,0.573303806,0.278915481,3,0
1000,2,0.578765701,0.275037478,4,0
1000,2,0.573746898,0.288275103,5,0
1000,2,0.571220814,0.285415682,6,0
1000,2,0.576015008,0.27310779,7,0
1000,2,0.57985205,0.278088362,8,0
1000,2,0.584166683,0.28622097,9,0
1000,2,0.574934134,0.268094126,10,0
1000,2,0.576824283,0.275788898,11,0
1000,2,0.573601539,0.278017922,12,0
1000,2,0.576405269,0.284334467,13,0.591715976
1000,2,0.579455052,0.274784642,14,0
1000,2,0.573841945,0.276583562,15,0
1000,2,0.573193342,0.280908463,16,0.390625
1000,2,0.582726217,0.276449692,17,0.692041522
1000,2,0.570825822,0.289121593,18,4.320987654
1000,2,0.568915708,0.274696736,19,4.986149584
1000,2,0.574165339,0.277134322,20,5.25
1000,2,0.573356945,0.277138862,21,7.482993197
1000,2,0.570936497,0.263223458,22,9.090909091
1000,2,0.585738972,0.292203537,23,11.90926276
1000,2,0.580301768,0.28019742,24,15.10416667
1000,2,0.579233731,0.276042698,25,14.72
1000,2,0.583443637,0.282394325,26,17.89940828
1000,2,0.574251094,0.281074132,27,22.35939643
1000,2,0.571689022,0.286141668,28,23.7244898
1000,3,0.867729161,0.412356317,3,0
1000,3,0.869511756,0.421773527,4,0
1000,3,0.862260354,0.413390227,5,0
1000,3,0.867940137,0.418184637,6,0
1000,3,0.864342648,0.411109264,7,0
1000,3,0.861034958,0.413708206,8,0
1000,3,0.861207151,0.423746395,9,0
1000,3,0.874114739,0.417696435,10,0
1000,3,0.859528899,0.425203962,11,0
1000,3,0.865697563,0.425622369,12,0
1000,3,0.867134386,0.406159772,13,0
1000,3,0.873606648,0.418377103,14,0
1000,3,0.861233227,0.425119912,15,1.333333333
1000,3,0.866044991,0.417289197,16,1.171875
1000,3,0.865707772,0.420582108,17,2.422145329
1000,3,0.867496976,0.404764761,18,3.086419753
1000,3,0.870219055,0.418989909,19,4.986149584
1000,3,0.870890784,0.433776461,20,5.75
1000,3,0.855703697,0.416005466,21,8.843537415
1000,3,0.852920238,0.421419468,22,10.33057851
1000,3,0.871121302,0.405861459,23,12.66540643
1000,3,0.867973409,0.404606459,24,15.625
1000,3,0.871625329,0.395725395,25,16
1000,3,0.872195946,0.419361556,26,18.49112426
1000,3,0.869580053,0.410844147,27,21.12482853
1000,3,0.876404895,0.418054124,28,24.23469388
1000,4,1.154111451,0.561960463,3,0
1000,4,1.161943255,0.538672673,4,0
1000,4,1.137562051,0.537559779,5,0
1000,4,1.153777526,0.547213233,6,0
1000,4,1.169661174,0.558800728,7,0
1000,4,1.161255563,0.566033051,8,0
1000,4,1.138071736,0.57464268,9,0
1000,4,1.160683427,0.556157419,10,0
1000,4,1.153197765,0.555109015,11,0
1000,4,1.158522925,0.559770611,12,0
1000,4,1.165595261,0.568116217,13,0.591715976
1000,4,1.161136329,0.557950013,14,1.020408163
1000,4,1.166017166,0.557307318,15,0.888888889
1000,4,1.161044557,0.561045554,16,0.78125
1000,4,1.157230214,0.543654,17,1.384083045
1000,4,1.163460441,0.552904035,18,3.086419753
1000,4,1.143809444,0.544676257,19,4.155124654
1000,4,1.148746639,0.539579343,20,4.5
1000,4,1.156223984,0.548471526,21,6.575963719
1000,4,1.156263135,0.555776638,22,9.090909091
1000,4,1.153491845,0.561836059,23,10.01890359
1000,4,1.159181623,0.54984748,24,13.19444444
1000,4,1.15036741,0.542917979,25,16.8
1000,4,1.159648716,0.544220239,26,15.68047337
1000,4,1.157707622,0.550858412,27,21.39917695
1000,4,1.144342678,0.54968986,28,21.68367347
2000,0.25,0.072344816,0.033752858,3,0
2000,0.25,0.071676907,0.034887727,4,0
2000,0.25,0.071383967,0.035076523,5,0
2000,0.25,0.072598242,0.03444054,6,0
2000,0.25,0.071914184,0.035037326,7,0
2000,0.25,0.072421535,0.03493884,8,0
2000,0.25,0.072609342,0.035638721,9,0
2000,0.25,0.072666964,0.034832517,10,0
2000,0.25,0.071823567,0.034191844,11,0
2000,0.25,0.071970017,0.035327361,12,0
2000,0.25,0.072057908,0.033385697,13,0
2000,0.25,0.072899552,0.035036674,14,0
2000,0.25,0.072437286,0.033919328,15,0
2000,0.25,0.071896367,0.034204688,16,0
2000,0.25,0.072000268,0.035416176,17,0
2000,0.25,0.072395346,0.035349224,18,0.617283951
2000,0.25,0.072156539,0.035458473,19,0.27700831
2000,0.25,0.072436363,0.035573824,20,1.25
2000,0.25,0.072177587,0.033694617,21,0.680272109
2000,0.25,0.07202558,0.035048083,22,1.652892562
2000,0.25,0.072019065,0.034682081,23,2.835538752
2000,0.25,0.072599174,0.03533581,24,4.166666667
2000,0.25,0.072598639,0.035249019,25,2.56
2000,0.25,0.071727031,0.03458993,26,3.402366864
2000,0.25,0.071918123,0.035677427,27,6.58436214
2000,0.25,0.071795498,0.034719513,28,5.739795918
2000,0.5,0.145332917,0.072012129,3,0
2000,0.5,0.145417224,0.067708955,4,0
2000,0.5,0.145966502,0.068504527,5,0
2000,0.5,0.143362048,0.06941344,6,0
2000,0.5,0.145778286,0.06973208,7,0
2000,0.5,0.143025701,0.069928835,8,0
2000,0.5,0.146484607,0.070612584,9,0
2000,0.5,0.143875941,0.068906597,10,0
2000,0.5,0.14465104,0.072370105,11,0
2000,0.5,0.142146126,0.070491411,12,0
2000,0.5,0.144628208,0.070841773,13,0
2000,0.5,0.144305178,0.068795466,14,0
2000,0.5,0.143903671,0.068997959,15,0.888888889
2000,0.5,0.144220987,0.070913897,16,0
2000,0.5,0.143146053,0.069795654,17,0
2000,0.5,0.145586677,0.069853121,18,0
2000,0.5,0.14430956,0.069014138,19,0
2000,0.5,0.145193668,0.0694465,20,0.25
2000,0.5,0.146276298,0.069012788,21,1.587301587
2000,0.5,0.144544378,0.068610233,22,1.239669421
2000,0.5,0.144927958,0.069741668,23,2.268431002
2000,0.5,0.143229516,0.068227724,24,3.125
2000,0.5,0.145752618,0.06690984,25,3.84
2000,0.5,0.144421622,0.070276006,26,4.289940828
2000,0.5,0.143730702,0.070724048,27,6.995884774
2000,0.5,0.144442883,0.069170881,28,8.673469388
2000,1,0.289354944,0.137834051,3,0
2000,1,0.287306696,0.140694871,4,0
2000,1,0.286976699,0.137383232,5,0
2000,1,0.288096557,0.134667,6,0
2000,1,0.289126885,0.14166222,7,0
2000,1,0.287204316,0.138416228,8,0
2000,1,0.287843963,0.141804828,9,0
2000,1,0.2862818,0.138187312,10,0
2000,1,0.288893627,0.13915948,11,0
2000,1,0.288905187,0.139125632,12,0
2000,1,0.285669419,0.137861541,13,0
2000,1,0.288987839,0.140526859,14,0
2000,1,0.288005863,0.137454965,15,0
2000,1,0.287500028,0.138804588,16,0.390625
2000,1,0.288632786,0.140143256,17,0.346020761
2000,1,0.287493782,0.141176489,18,0.308641975
2000,1,0.287883899,0.140677134,19,0.55401662
2000,1,0.289142018,0.141807317,20,1.25
2000,1,0.28670045,0.140131324,21,1.587301587
2000,1,0.288041446,0.136900376,22,2.479338843
2000,1,0.291012319,0.136366674,23,1.134215501
2000,1,0.286472157,0.140386408,24,4.513888889
2000,1,0.286896376,0.136361441,25,2.56
2000,1,0.288504377,0.140029147,26,5.177514793
2000,1,0.288192183,0.140283894,27,6.447187929
2000,1,0.288663598,0.137595169,28,8.163265306
2000,1.5,0.43624448,0.20402394,3,0
2000,1.5,0.433987379,0.210046168,4,0
2000,1.5,0.430819175,0.213693529,5,0
2000,1.5,0.436489298,0.214425485,6,0
2000,1.5,0.433957042,0.209595521,7,0
2000,1.5,0.430213045,0.21240475,8,0
2000,1.5,0.432644438,0.211087691,9,0
2000,1.5,0.432364414,0.201950626,10,0
2000,1.5,0.432315558,0.206397053,11,0
2000,1.5,0.436291702,0.206127232,12,0
2000,1.5,0.429439777,0.206306721,13,0
2000,1.5,0.435040202,0.20895925,14,0
2000,1.5,0.431914406,0.204643169,15,0
2000,1.5,0.433947934,0.207972101,16,0
2000,1.5,0.428002611,0.211256465,17,0
2000,1.5,0.433933271,0.212114759,18,0.308641975
2000,1.5,0.427196609,0.213041368,19,0.27700831
2000,1.5,0.427649034,0.203353275,20,0.5
2000,1.5,0.429722289,0.203171985,21,1.133786848
2000,1.5,0.432321121,0.20739984,22,1.446280992
2000,1.5,0.431979426,0.210816144,23,1.512287335
2000,1.5,0.431152513,0.207228816,24,1.736111111
2000,1.5,0.435395574,0.207848328,25,2.72
2000,1.5,0.433815359,0.206279452,26,3.25443787
2000,1.5,0.433274585,0.211833977,27,6.721536351
2000,1.5,0.430494201,0.209461459,28,7.653061224
2000,2,0.57875869,0.273488961,3,0
2000,2,0.578804421,0.27792854,4,0
2000,2,0.571011712,0.271422317,5,0
2000,2,0.577248377,0.26478267,6,0
2000,2,0.578603395,0.272678242,7,0
2000,2,0.583265997,0.277271613,8,0
2000,2,0.578423875,0.282797924,9,0
2000,2,0.573682358,0.283696161,10,0
2000,2,0.575248391,0.279148533,11,0
2000,2,0.57820384,0.278696519,12,0
2000,2,0.57922669,0.282445331,13,0
2000,2,0.581374283,0.274458762,14,0
2000,2,0.5888466,0.275749155,15,0
2000,2,0.573082427,0.276612567,16,0.390625
2000,2,0.575485611,0.279899522,17,0
2000,2,0.572919325,0.276091212,18,0
2000,2,0.57539173,0.277330636,19,0
2000,2,0.570364185,0.281326519,20,0.75
2000,2,0.575613023,0.271484105,21,1.587301587
2000,2,0.571773584,0.270932624,22,1.859504132
2000,2,0.581986557,0.284037261,23,1.323251418
2000,2,0.572691952,0.274346914,24,3.298611111
2000,2,0.579803306,0.282295875,25,4.8
2000,2,0.578744098,0.282061103,26,4.289940828
2000,2,0.579670386,0.278647559,27,5.212620027
2000,2,0.573682858,0.274647118,28,6.12244898
2000,3,0.867544511,0.412734908,3,0
2000,3,0.860205708,0.421406931,4,0
2000,3,0.870041777,0.419033789,5,0
2000,3,0.853218646,0.414012,6,0
2000,3,0.871882994,0.419670099,7,0
2000,3,0.870156023,0.402721332,8,0
2000,3,0.862966249,0.413969181,9,0
2000,3,0.861601667,0.419593604,10,0
2000,3,0.86533428,0.429212316,11,0
2000,3,0.860880776,0.4105532,12,0
2000,3,0.871915674,0.401836919,13,0
2000,3,0.86200401,0.408990259,14,0
2000,3,0.866056688,0.417332399,15,0
2000,3,0.860632726,0.411883615,16,0
2000,3,0.874662085,0.423919947,17,0
2000,3,0.865894239,0.412479405,18,0.617283951
2000,3,0.864709395,0.417474719,19,0.27700831
2000,3,0.86362045,0.414821446,20,1
2000,3,0.860429675,0.414579636,21,1.587301587
2000,3,0.874202565,0.420414214,22,1.239669421
2000,3,0.860984012,0.421787996,23,1.890359168
2000,3,0.86182274,0.406927082,24,2.951388889
2000,3,0.858078023,0.414863115,25,4
2000,3,0.859030028,0.414110281,26,4.142011834
2000,3,0.862273873,0.408354274,27,6.858710562
2000,3,0.871476284,0.406123245,28,6.25
2000,4,1.144795799,0.558551286,3,0
2000,4,1.146787109,0.562285455,4,0
2000,4,1.154526573,0.545932038,5,0
2000,4,1.145464003,0.542535587,6,0
2000,4,1.164243215,0.563436595,7,0
2000,4,1.14792331,0.561145853,8,0
2000,4,1.144046127,0.549244858,9,0
2000,4,1.165662638,0.550131511,10,0
2000,4,1.154808964,0.564572183,11,0
2000,4,1.165018642,0.555241611,12,0
2000,4,1.151028412,0.550484475,13,0
2000,4,1.147270249,0.551314718,14,0
2000,4,1.153394646,0.560575703,15,0
2000,4,1.157473708,0.548282331,16,0
2000,4,1.156734802,0.544990273,17,0.346020761
2000,4,1.141038402,0.548890019,18,0.308641975
2000,4,1.150209707,0.55984688,19,1.108033241
2000,4,1.151151359,0.552936717,20,0.5
2000,4,1.144702004,0.552330344,21,2.494331066
2000,4,1.155377159,0.552071413,22,2.272727273
2000,4,1.152679445,0.562849332,23,1.512287335
2000,4,1.165547854,0.56392649,24,2.777777778
2000,4,1.154823616,0.548707766,25,3.36
2000,4,1.171112028,0.547087272,26,4.437869822
2000,4,1.158540536,0.557595697,27,5.898491084
2000,4,1.154763642,0.549538589,28,7.270408163
